-BUTYL-BUTYRYL-LACTATE,Non disponible,Non disponible,No table found
(-)-EPIGALLOCATECHIN-GALLATE,Antiallergic,not available,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPIGALLOCATECHIN-GALLATE,Antiangiogenic,not available,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPIGALLOCATECHIN-GALLATE,Antibacterial,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-GALLATE,Anticancer,IC90=1 uM,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPIGALLOCATECHIN-GALLATE,Anticariogenic,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-GALLATE,Antihepatotoxic,not available,"Okuda, T., Yoshida, T., and Hatano, T. Antioxidant Effects of Tannins and Related Polyphenols. Phenolic Compounds in Food and Their Effects on Health, Ch.7 p.93."
(-)-EPIGALLOCATECHIN-GALLATE,Antileukemic,not available,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPIGALLOCATECHIN-GALLATE,AntiMRSA,32-64 ppm,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPIGALLOCATECHIN-GALLATE,Antimutagenic,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-GALLATE,Antiobesity,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-GALLATE,Antioxidant,>10 x tocopherol,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-GALLATE,Antiperoxidant,not available,"Okuda, T., Yoshida, T., and Hatano, T. Antioxidant Effects of Tannins and Related Polyphenols. Phenolic Compounds in Food and Their Effects on Health, Ch.7 p.93."
(-)-EPIGALLOCATECHIN-GALLATE,Antiprostatadenomic,IC90=1 uM,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPIGALLOCATECHIN-GALLATE,Antiradicular,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-GALLATE,Antitumor,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-GALLATE,Antiulcer,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-GALLATE,Antiviral,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-GALLATE,Apoptotic,not available,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPIGALLOCATECHIN-GALLATE,COMP-Inhibitor,not available,"Dullo, A. G., et al. 1999. Efficacy of a green tea extract rich in catechin polyphenols and caffeine in increasing 24-h energy expenditure and fat oxidation in humans. Am. J. Clinical Nutrition, 70: 1040-1045."
(-)-EPIGALLOCATECHIN-GALLATE,Cyclooxygenase-Inhibitor,not available,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPIGALLOCATECHIN-GALLATE,Cytotoxic,not available,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPIGALLOCATECHIN-GALLATE,Fungicide,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-GALLATE,Glucosyl-Transferase-Inhibitor,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-GALLATE,GTase-Inhibitor,IC26=100 ug/ml,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-GALLATE,Hepatoprotective,not available,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPIGALLOCATECHIN-GALLATE,Hypocholesterolemic,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-GALLATE,Immunostimulant,not available,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPIGALLOCATECHIN-GALLATE,Lipoxygenase-Inhibitor,IC50=10 uM,"Phenolic Compounds in Food and Their Effects on Health. Antioxidants & Cancer Prevention. Huang, M.T., Ho, C.T. and Lee, C.Y. eds. 1992. ACS Symposium Series 507.ACS, Washington 402 pp."
(-)-EPIGALLOCATECHIN-GALLATE,Mitogen,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-GALLATE,Protein-Kinase-C-Inhibitor,not available,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPIGALLOCATECHIN-GALLATE,PTK-Inhibitor,10-100 uM,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-GALLATE,Radioprotective,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-GALLATE,Reverse-Transcriptase-Inhibitor,10 ng/ml,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPIGALLOCATECHIN-GALLATE,Thermogenic,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN-GALLATE,Urokinase-Inhibitor,not available,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPIGALLOCATECHIN-GALLATE,Xanthine-Oxidase-Inhibitor,IC50=>40,"Hatano, T., Yasuhara, T., Yoshihara, R., Agata, I., Noro, T., and Okuda, T. 1989. Effects of Interaction of Tannins with Co-existing Substances.VII. Inhibitory Effects of Tannins Related Polyphenols on Xanthine Oxidase. Chem. Pharm. Bull. 38(5): 1224-1229"
(-)-EUDESMIN,Antitubercular,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-EUDESMIN,Calcium-Antagonist,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-EUDESMIN,Pesticide,not available,"Duke, 1992 *"
(-)-EUDESMIN,Taenifuge,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-GLYCEOCARPIN,Fungicide,ED50=50-100,"Duke, 1992 *"
(-)-GLYCEOCARPIN,Pesticide,not available,"Duke, 1992 *"
(-)-GLYCEOCARPIN,Phytoalexin,not available,"Duke, 1992 *"
(-)-GLYCEOFURAN,Fungicide,ED50=>100,"Duke, 1992 *"
(-)-GLYCEOFURAN,Pesticide,not available,"Duke, 1992 *"
(-)-GLYCEOFURAN,Phytoalexin,not available,"Duke, 1992 *"
(-)-GLYCEOLLIN-I,Fungicide,ED50=<50,"Duke, 1992 *"
(-)-GLYCEOLLIN-I,Pesticide,not available,"Duke, 1992 *"
(-)-GLYCEOLLIN-I,Phytoalexin,not available,"Duke, 1992 *"
(-)-GLYCEOLLIN-II,Fungicide,ED50=<50,"Duke, 1992 *"
(-)-GLYCEOLLIN-II,Pesticide,not available,"Duke, 1992 *"
(-)-GLYCEOLLIN-II,Phytoalexin,not available,"Duke, 1992 *"
(-)-GLYCEOLLIN-III,Fungicide,ED50=<50,"Duke, 1992 *"
(-)-GLYCEOLLIN-III,Pesticide,not available,"Duke, 1992 *"
(-)-GLYCEOLLIN-III,Phytoalexin,not available,"Duke, 1992 *"
(-)-GLYCEOLLIN-IV,Fungicide,ED50=<50,"Duke, 1992 *"
(-)-GLYCEOLLIN-IV,Pesticide,not available,"Duke, 1992 *"
(-)-GLYCEOLLIN-IV,Phytoalexin,not available,"Duke, 1992 *"
(-)-GLYCINOL,Fungicide,ED50=50->100,"Duke, 1992 *"
(-)-GLYCINOL,Pesticide,not available,"Duke, 1992 *"
(-)-GLYCINOL,Phytoalexin,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-GOSSYPOL,Antifertility,30 mg/kg rats,"Duke, 1992 *"
(-)-GOSSYPOL,Spermicide,30 mg/kg rats,"Duke, 1992 *"
(-)-GRANDISIN,Artemicide,not available,"Duke, 1992 *"
(-)-HYDROXYJASMONIC-ACID,Antioxidant,30 mM,"Duke, 1992 *"
(-)-HYDROXYJASMONIC-ACID,Antiradicular,30 mM,"Duke, 1992 *"
(-)-IBOGAMINE,CNS-Stimulant,not available,"Duke, 1992 *"
(-)-ISOLAURELINE,Antimalarial,IC50=1610-2560 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-ISOLAURELINE,Antiplasmodial,IC50=1610-2560 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-ISOSATIVAN,Fungicide,not available,"Duke, 1992 *"
(-)-ISOSATIVAN,Pesticide,not available,"Duke, 1992 *"
(-)-JASMONIC-ACID,Fungicide,not available,"Duke, 1992 *"
(-)-JASMONIC-ACID,Phytohormonal,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-KAUR-16-EN-19-OIC-ACID,Antiseptic,not available,"Duke, 1992 *"
(-)-KAUR-16-EN-19-OIC-ACID,Juvabional,not available,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
(-)-KAUR-16-EN-19-OIC-ACID,Pesticide,not available,"Duke, 1992 *"
(-)-KURARINONE,Cytotoxic,not available,"Kang, T., Jeong, S., Ko, W., Kim, N., Lee, B., Inagaki, M., Miyamoto, T., Higuchi, R., Kim, Y. 2000. Cytotoxic Lavandulyl Flavanones from Sphora flavescens. J. Natural Products, 63(5): 680-681."
(-)-LAUDANIDINE,Convulsant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-LAUDANIDINE,Paralytic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-LOLIOLIDE,Ant-Repellent,not available,"Duke, 1992 *"
(-)-LOLIOLIDE,Pesticide,not available,"Duke, 1992 *"
(-)-MAACKIAIN,Quinone-Reductase-Inducer,ED50=8.8 uM,"Duke, 1992 *"
(-)-MAACKIAIN-3-O-GLUCOSIDE,Antitumor,not available,"Duke, 1992 *"
(-)-MATAIRESINOL,cAMP-Phosphodiesterase-Inhibitor,not available,"Duke, 1992 *"
(-)-MEDICARPIN,Fungicide,ED50=<50,"Duke, 1992 *"
(-)-MEDICARPIN,MAO-Inhibitor,IC50=>200,"Duke, 1992 *"
(-)-MEDICARPIN,Pesticide,not available,"Duke, 1992 *"
(-)-MEDICARPIN,Phytoalexin,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-MEDICARPIN,Quinone-Reductase-Inducer,ED50=13.7 uM,"Duke, 1992 *"
(-)-MELLEIN,Prostaglandin-Synthesis-Inhibitor,IC50=340 uM,"Pongprayoon, U. 1991. Pharmacognostic Studies on the Thai Medicinal Plant Ipomoea pes-caprae (L.) R.BR. (Pak Bung Ta Lae). Acta Pharm Nordica, 3(3). 186 pp."
(-)-MENTHOL,Antiacetylcholinesterase,IC38=164 ug/ml,"Duke, 1992 *"
(-)-MENTHOL,Antiacetylcholinesterase,IC38=1.2 mM,"Duke, 1992 *"
(-)-MENTHOL,Pesticide,not available,"Duke, 1992 *"
(-)-MENTHOL,Termiticide,not available,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
(-)-MENTHONE,Antiacetylcholinesterase,IC39=164 ug/ml,"Duke, 1992 *"
(-)-MENTHONE,Antiacetylcholinesterase,IC50=1.4 mM,"Duke, 1992 *"
(-)-N-(1'-DEOXY-1'-D-FRUCTOPYRANOSYL)-S-ALLYL-L-CYSTEINE-SULFOXIDE,Antiaggregant,not available,"LAWSON in Koch, H. P. and Lawson, L. D., eds. 1996. Garlic- The
Science and therapeutic application of Allium sativum L. and related species. Williams & Wilkins, Baltimore. 329 pp."
(-)-NOR-DICENTRINE,Antimalarial,IC50=470-1030 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-NOR-DICENTRINE,Antiplasmodial,IC50=470-1030 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-ODORINOL,Antileukemic,not available,"Duke, 1992 *"
(-)-PIPERITONE,Antiacetylcholinesterase,IC50=136 ug/ml,"Duke, 1992 *"
(-)-PSEUDOEPHEDRINE,Thermogenic,< (-)-EPHEDRINE,"Bukowiecki, L., Jahjah, L., Follea, N. 1982. Ephedrine, a Potential Slimming Drug, Directly Stimulates Thermogenesis in Brown Adipocytes Via Beta-Adrenoreceptors. Int J Obesity, 6: 343-350."
(-)-ROEMEROLINE,Antimalarial,"IC50=1,780-3,150 ug/ml","Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-ROEMEROLINE,Antiplasmodial,"IC50=1,780-3,150 ug/ml","Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-SALSOLINOL,Dopamine-Blocker,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-SPARTEINE,Abortifacient,not available,"Duke, 1992 *"
(-)-SPARTEINE,Antiarrhythmic,not available,"Duke, 1992 *"
(-)-SPARTEINE,Insecticide,not available,"Grainge, M. and Ahmed, S., Handbook of Plants with Pest-Control Properties, John Wiley & Sons, New York, NY, 1988, 470."
(-)-SPARTEINE,Oxytocic,not available,"Duke, 1992 *"
(-)-STEPHOLIDINE,Calcium-Antagonist,10 mM/l rat,"Duke, 1992 *"
(-)-STEPHOLIDINE,Calcium-Antagonist,3 uM,"Duke, 1992 *"
(-)-STYLOPINE,Aldose-Reductase-Inhibitor,50 uM,"Kubo, M., et al. 1994. Studies on Anti-cataract Drugs from Natural Sources. I. Effects of a Methanolic Extract and the Alkaloidal Components from Corydalis Tuber on in vit Aldose Reductase Activity. Biol Pharm Bull, 17(3): 458-459."
(-)-TENUIPINE,Calcium-Antagonist,IC50=0.63 uM pig,"Duke, 1992 *"
(-)-TERPINEN-4-OL,Antiacetylcholinesterase,IC21=1.2 mM,"Duke, 1992 *"
(-)-TETRAHYDROCOLUMBAMINE,Aldose-Reductase-Inhibitor,50 uM (weak activity),"Kubo, M., et al. 1994. Studies on Anti-cataract Drugs from Natural Sources. I. Effects of a Methanolic Extract and the Alkaloidal Components from Corydalis Tuber on in vit Aldose Reductase Activity. Biol Pharm Bull, 17(3): 458-459."
(-)-TETRAHYDROSTEPHABINE,Antimalarial,"IC50=1,940-2,230 ug/ml","Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-TETRAHYDROSTEPHABINE,Antiplasmodial,"IC50=1,940-2,230 ug/ml","Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-THAICANINE,Antimalarial,"IC50=550-1,610 ug/ml","Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-THAICANINE,Antiplasmodial,"IC50=550-1,610 u/gml","Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-TRACHELOGENIN,AntiHIV,IC65=0.5uM,"Duke, 1992 *"
(-)-TRACHELOGENIN,Pesticide,not available,"Duke, 1992 *"
(-)-VESTITOL,Antifeedant,not available,"Russell, G. B., Phytochemical resources for crop protection, N. Z. J. Technol., 2, 1986, 127-134."
(-)-VESTITOL,Fungicide,not available,"Duke, 1992 *"
(-)-VESTITOL,Pesticide,not available,"Duke, 1992 *"
(-)-VESTITONE,Fungicide,not available,"Duke, 1992 *"
(-)-VESTITONE,Pesticide,not available,"Duke, 1992 *"
(-)-XYLOPINE,Antimalarial,"IC50=440-2,270 ug/ml","Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-XYLOPINE,Antiplasmodial,"IC50=440-2,270 ug/ml","Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)EPIGALLOCATECHIN-3-O-P-COUMARATE,Non disponible,Non disponible,No table found
(-)UGANDENSIDIAL,Antifeedant,not available,"Duke, 1992 *"
(-)UGANDENSIDIAL,Pesticide,not available,"Duke, 1992 *"
"(+)-(1S,10R)-1,10-DIMETHYLBICYCLO(4.4.0)-DEC-6-EN-3-ONE",Insectifuge,not available,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
"(+)-(1S,10R)-1,10-DIMETHYLBICYCLO(4.4.0)-DEC-6-EN-3-ONE",Pesticide,not available,"Duke, 1992 *"
"(+)-1,2-DEHYDROTELOBINE",Antimalarial,IC50=0.26-0.31 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
"(+)-1,2-DEHYDROTELOBINE",Antiplasmodial,IC50=0.26-0.31 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(+)-2-N-METHYLTELOBINE,Antimalarial,IC50=0.09-0.26 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(+)-2-N-METHYLTELOBINE,Antiplasmodial,IC50=0.09-0.26 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(+)-2-NOR-CEPHARANTHINE,Antimalarial,IC50=0.05-0.13 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(+)-2-NOR-CEPHARANTHINE,Antiplasmodial,IC50=0.05-0.13 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(+)-2-NOR-ISOTETRANDRINE,Antimalarial,IC50=0.05-0.07 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(+)-2-NOR-ISOTETRANDRINE,Antiplasmodial,IC50=0.05-0.07 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(+)-2-NOR-OBABERINE,Antimalarial,IC50=0.05-0.09 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(+)-2-NOR-OBABERINE,Antiplasmodial,IC50=0.05-0.09 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(+)-2-NOR-THALRUGOSINE,Antimalarial,IC50=0.07-0.13 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(+)-2-NOR-THALRUGOSINE,Antiplasmodial,IC50=0.07-0.13 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(+)-3-HYDROXY-9-METHOXYPTEROCARPAN,Fungicide,IC26-78=100 uM,"Duke, 1992 *"
(+)-3-HYDROXY-9-METHOXYPTEROCARPAN,Pesticide,not available,"Duke, 1992 *"
(+)-3-THUJONE,Antifeedant,not available,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
(+)-3-THUJONE,Pesticide,not available,"Duke, 1992 *"
(+)-4-BETA-HYDROXYHERENANDULCIN,Sweetener,not available,"Duke, 1992 *"
"(+)-8-16-BETA-HYDROXYBERSALDEGENIN-1,3,5-ORTHOACETATE",Antitumor,not available,CRC Handbook of Medicinal Herbs and/or CRC Handbook of Proximate Analyses
"(+)-8-16-BETA-HYDROXYBERSALDEGENIN-1,3,5-ORTHOACETATE",Pesticide,not available,"Duke, 1992 *"
(+)-8HYDROXYCALAMENENE,Antibacterial,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(+)-8HYDROXYCALAMENENE,Antibacterial,not available,"Duke, 1992 *"
(+)-8HYDROXYCALAMENENE,Pesticide,not available,"Duke, 1992 *"
(+)-8HYDROXYCALAMENENE,Piscicide,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(+)-8HYDROXYCALAMENENE,Piscicide,not available,"Duke, 1992 *"
(+)-ADLUMINE,Cardiodepressant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(+)-ADLUMINE,Convulsant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(+)-ADLUMINE,Enterostimulant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(+)-ADLUMINE,Uterotonic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(+)-ALLOMATRINE,Analgesic,not available,"Duke, 1992 *"
(+)-ALPHA-VINIFERIN,Antidermatitic,47 uM,"Duke, 1992 *"
(+)-ALPHA-VINIFERIN,Antiinflammatory,not available,"Duke, 1992 *"
(+)-ALPHA-VINIFERIN,Antikeratinocytogenic,0.4 uM,"Duke, 1992 *"
(+)-ALPHA-VINIFERIN,Antiradicular,47 uM,"Duke, 1992 *"
(+)-ALPHA-VINIFERIN,Antiseptic,not available,"Duke, 1992 *"
(+)-ALPHA-VINIFERIN,Hepatoprotective,not available,"Duke, 1992 *"
(+)-ALPHA-VINIFERIN,Pesticide,not available,"Duke, 1992 *"
(+)-ALPHA-VINIFERIN,Protein-Kinase-C-Inhibitor,not available,"Duke, 1992 *"
(+)-AMMODENDRINE,Insecticide,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(+)-AMMODENDRINE,Pesticide,not available,"Duke, 1992 *"
(+)-AROMOLINE,Antimalarial,IC50=0.67 ug/ml (ca 1/5 chloroquine),"Duke, 1992 *"
(+)-AROMOLINE,Antiseptic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
